DateRange,TradingDays,ReturnRatio,LongReturnRatio,ShortReturnRatio,SharpeRatio,WinRatio,ProfitCrossRatio,MaxDrawdown,CalmarRatio
20150106~20150406,59,3.2401860547683903,7.850357741223098,1.7021813126111618,37.08519695173443,0.896551724137931,2.8795606570503773,0.004675082338072123,693.0757194117259
20150406~20150706,62,3.685561204248594,1.4896964921862166,-0.562899103141457,31.22050335055561,0.7213114754098361,2.9089858030876874,0.015854600672595476,232.46004616307056
20150706~20151006,61,1.2445367576520137,0.821022185691336,-0.4489640949791719,12.49120373499433,0.7333333333333333,1.4814326288629815,0.02127792072566803,58.48958522299132
20151006~20160106,63,1.0471581585843919,1.258400318498078,0.1884797927609223,28.613869968160476,0.9032258064516129,3.2116954843126924,0.001725591803163562,606.8400166624667
20160106~20160406,59,0.433047586477729,0.32153723757801567,-0.34392038960987636,11.90700120371512,0.7413793103448276,1.671792850956541,0.006516694408840729,66.4520321668367
20160406~20160706,62,0.3384142857783188,0.33945550402929126,-0.12457291529222991,10.247329958300693,0.7049180327868853,1.9795456313805446,0.003877990952756094,87.26536237476449
20160706~20161006,61,0.4072927179063459,0.28055482785953667,-0.5020134434203487,21.399821680573282,0.8833333333333333,3.4054246212730956,0.0008874905128868349,458.92627807535825
20161006~20170106,63,0.2545151895702038,0.19124907501567479,-0.39990310172208443,12.706380322640031,0.8225806451612904,1.5414393151884445,0.003955228156812374,64.34905382938125
20170106~20170406,57,0.17238082422131829,0.18203830128560639,-0.09186767752203129,8.459149617168464,0.7142857142857143,2.0055750919696473,0.00324690316507259,53.090842398887624
20170406~20170706,62,0.1376406034702291,-0.021161325190199642,-0.7621103278116685,4.5092272018096695,0.6721311475409836,1.1879716698241332,0.0043415517894880296,31.703089158924936
20170706~20171006,62,0.11565544753417001,0.14139183602034855,0.03680558724138949,3.8544043606471305,0.639344262295082,1.2815626093767294,0.004925195870587484,23.482405689659295
20171006~20180106,64,0.11552022249130522,-0.038805148136187295,-0.8875415769824858,4.503957233809249,0.5555555555555556,1.9848545935483612,0.00454711720890999,25.405156098669625
20180106~20180406,58,0.08123327869725516,-0.014028220488268683,-0.9125982382471659,2.6529294330589472,0.5614035087719298,1.607818596143813,0.003981996323080383,20.40013905246776
20180406~20180706,61,-0.005219290751249717,-0.20852255568913414,,-3.64254732251277,0.4666666666666667,1.0463285125336899,0.008725895293027808,-0.5981381366586017
20180706~20181006,60,0.027116675343709318,-0.10346145882853552,253.1622029666351,-0.33147738415868894,0.576271186440678,1.3521858799420525,0.001996780607849913,13.580197662730672
20181006~20190106,63,0.03831468774859248,0.023954898201458352,0.7273006256854828,0.8846331268717412,0.6290322580645161,1.1590989275271169,0.0026838959152796216,14.275772592545067
20190106~20190406,59,0.17515364391872135,0.5942724939406203,,8.588346993846537,0.7413793103448276,1.7955494641003396,0.004131299864234106,42.39673944636134
20190406~20190706,61,0.10610761037379945,-0.13344870959293154,,5.950982512983571,0.6833333333333333,1.6717426775941606,0.0032474098759880388,32.67453583804716
20190706~20191006,60,0.04392544542042787,0.012743968962696473,1.0399725325401046,0.933717566264946,0.559322033898305,1.2546277114325626,0.0075396009885218,5.825964197216729
20191006~20200106,63,0.055920309374932975,0.10636241991300577,-0.3770241725946317,1.7572687873556148,0.5645161290322581,1.4501768233010657,0.0042601353050597535,13.126416268637417
20200106~20200406,59,0.05020579907252998,0.007914576872497747,1.6044008616910954,0.610187283894668,0.5862068965517241,0.9162606363546685,0.01569581039162471,3.198675176359152
20200406~20200706,59,4.4881690996145807e-05,0.1700572542630383,-0.9704480423076888,-1.7019509825979358,0.5172413793103449,0.9337131226742914,0.007756033231730464,0.005786681110716717
20200706~20201006,20,0.15633695820605964,0.40014465762595797,-0.9997668934469648,4.668826188565828,0.5789473684210527,1.9482405957484437,0.0031343078994571227,49.87925986248446
